otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
496014,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Baekduiaceae,g__Baekduia,s__soli,0.030362419327132684,0.009313548576317728,0.09444712108998965
40566,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinosynnema,s__,0.030362419327132684,0.009313548576317728,0.09444712108998965
374606,5.2891396332863195e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,s__sp. MSH1,0.030362419327132684,0.009313548576317728,0.09444712108998965
128780,5.2891396332863195e-05,0.1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__acidaminiphila,0.030362419327132684,0.009313548576317728,0.09444712108998965
40989,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharomonospora,s__cyanea,0.030362419327132684,0.009313548576317728,0.09444712108998965
110319,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__sp. CF8,0.030362419327132684,0.009313548576317728,0.09444712108998965
2614639,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__sp. L-031,0.030362419327132684,0.009313548576317728,0.09444712108998965
2714844,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. JB150,0.030362419327132684,0.009313548576317728,0.09444712108998965
2771361,5.2891396332863195e-05,0.1125,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Roseococcus,s__sp. NIBR12,0.030362419327132684,0.009313548576317728,0.09444712108998965
2579971,5.2891396332863195e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paraoceanicella,s__profunda,0.030362419327132684,0.009313548576317728,0.09444712108998965
1784,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__simiae,0.030362419327132684,0.009313548576317728,0.09444712108998965
2684468,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. QHH-9511,0.030362419327132684,0.009313548576317728,0.09444712108998965
2018025,5.2891396332863195e-05,0.1125,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__sp. MMS16-BH015,0.030362419327132684,0.009313548576317728,0.09444712108998965
1852022,5.2891396332863195e-05,0.1125,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Roseitalea,s__porphyridii,0.030362419327132684,0.009313548576317728,0.09444712108998965
2599401,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__qinzhouensis,0.030362419327132684,0.009313548576317728,0.09444712108998965
193462,5.2891396332863195e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__niveus,0.030362419327132684,0.009313548576317728,0.09444712108998965
2602016,5.2891396332863195e-05,0.1125,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Hypericibacter,s__adhaerens,0.030362419327132684,0.009313548576317728,0.09444712108998965
